City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
79,Codrington,-38.2667,141.9667,55.2,89,91,9.53,overcast clouds,AU
80,Khatanga,71.9667,102.5,-35.27,100,60,3.44,broken clouds,RU
81,Vardo,70.3705,31.1107,21.18,79,75,25.32,broken clouds,NO
82,Chokurdakh,70.6333,147.9167,-30.95,100,66,1.74,broken clouds,RU
83,Bonavista,48.6499,-53.1147,31.12,94,100,20.78,snow,CA
84,Gaoual,11.75,-13.2,88.81,11,5,4.72,clear sky,GN
85,Chalchihuites,23.4833,-103.8833,63.36,27,0,13.09,clear sky,MX
86,Saint-Philippe,-21.3585,55.7679,80.19,87,100,27.63,moderate rain,RE
87,Mar Del Plata,-38.0023,-57.5575,71.62,89,75,7.0,broken clouds,AR
88,Norman Wells,65.282,-126.8329,-29.16,68,75,8.05,broken clouds,CA
89,Lagunillas,10.1301,-71.2595,85.96,65,6,9.64,clear sky,VE
90,Gat,31.61,34.7642,51.08,100,84,8.97,broken clouds,IL
91,Tongren,27.7172,109.1853,39.16,75,10,3.42,clear sky,CN
92,Bad Frankenhausen,51.35,11.1,45.68,68,100,11.01,overcast clouds,DE
93,Arraial Do Cabo,-22.9661,-42.0278,85.96,78,40,20.71,scattered clouds,BR
94,Yellowknife,62.456,-114.3525,-28.59,78,20,2.3,mist,CA
95,Narsaq,60.9167,-46.05,10.62,62,51,21.63,broken clouds,GL
96,Georgetown,5.4112,100.3354,78.89,97,40,1.99,scattered clouds,MY
97,Andenes,69.3143,16.1194,24.78,68,75,20.71,broken clouds,NO
98,Kaitangata,-46.2817,169.8464,50.94,70,60,4.74,broken clouds,NZ
99,Mossendjo,-2.9506,12.7261,70.54,97,100,1.14,moderate rain,CG
100,Gao,16.6362,1.637,71.38,10,0,11.79,clear sky,ML
101,Panguna,-6.3164,155.4848,70.54,95,100,2.53,overcast clouds,PG
102,Sinnamary,5.3833,-52.95,78.53,86,100,8.95,overcast clouds,GF
103,Vostok,46.4856,135.8833,-12.24,100,100,3.11,overcast clouds,RU
104,Port Alfred,-33.5906,26.891,68.16,80,100,7.52,light rain,ZA
105,Ibirataia,-14.0669,-39.6406,87.57,52,81,5.93,broken clouds,BR
106,Jamestown,42.097,-79.2353,21.09,62,100,5.99,light snow,US
107,Dikson,73.5069,80.5464,-3.69,90,100,5.86,overcast clouds,RU
108,Isangel,-19.55,169.2667,76.8,94,100,15.66,moderate rain,VU
109,Whitianga,-36.8333,175.7,72.01,90,81,8.7,broken clouds,NZ
110,Kapaa,22.0752,-159.319,66.18,94,0,5.75,clear sky,US
111,Chumikan,54.7183,135.315,-5.71,79,98,12.88,overcast clouds,RU
112,Marsh Harbour,26.5412,-77.0636,75.29,59,78,11.01,broken clouds,BS
113,Thompson,55.7435,-97.8558,-18.24,69,20,9.22,few clouds,CA
114,Kankon,15.0167,74.0167,70.02,81,99,6.13,overcast clouds,IN
115,Emba,48.8264,58.1442,27.41,80,100,18.95,overcast clouds,KZ
116,Cabo San Lucas,22.8909,-109.9124,71.19,45,0,6.91,clear sky,MX
117,Inhambane,-23.865,35.3833,78.78,78,20,6.91,few clouds,MZ
118,Sovetskiy,61.3614,63.5842,4.17,97,100,2.57,overcast clouds,RU
119,Klaksvik,62.2266,-6.589,36.52,60,92,39.91,overcast clouds,FO
120,Stokmarknes,68.5646,14.9108,25.5,68,40,21.85,scattered clouds,NO
121,Ribeira Grande,38.5167,-28.7,61.2,77,40,16.11,scattered clouds,PT
