City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kavaratti,10.5669,72.642,80.46,72,2,10.54,IN,2022-01-31 23:47:23
68,Ancud,-41.8697,-73.8203,60.42,75,11,8.12,CL,2022-01-31 23:47:24
69,Avarua,-21.2078,-159.775,71.65,100,100,9.22,CK,2022-01-31 23:47:24
70,Vaini,-21.2,-175.2,86.16,79,75,10.36,TO,2022-01-31 23:47:24
71,Aasiaat,68.7098,-52.8699,5.9,80,100,10.07,GL,2022-01-31 23:47:25
72,Orito,0.6766,-76.8771,72.23,95,99,3.94,CO,2022-01-31 23:47:25
73,Severo-Kurilsk,50.6789,156.125,29.05,74,100,21.43,RU,2022-01-31 23:47:25
74,Mataura,-46.1927,168.8643,75.47,50,65,1.88,NZ,2022-01-31 23:47:26
75,College,64.8569,-147.8028,-7.42,73,0,0.0,US,2022-01-31 23:47:26
76,Bambous Virieux,-20.3428,57.7575,80.22,78,75,14.97,MU,2022-01-31 23:43:13
77,Carnarvon,-24.8667,113.6333,78.87,73,0,10.36,AU,2022-01-31 23:47:27
78,Djenne,13.9061,-4.5533,74.23,14,24,8.99,ML,2022-01-31 23:47:27
79,Synya,65.3718,58.0387,1.71,98,100,4.56,RU,2022-01-31 23:47:28
80,Dillon,34.4166,-79.3712,49.01,63,46,7.87,US,2022-01-31 23:47:28
81,Porto Novo,6.4965,2.6036,80.42,79,60,4.41,BJ,2022-01-31 23:47:28
82,Nuristan,35.3,70.8333,-0.2,67,7,14.97,AF,2022-01-31 23:47:28
83,Nova Granada,-20.5339,-49.3142,75.45,90,100,2.77,BR,2022-01-31 23:47:29
84,Lebu,-37.6167,-73.65,58.3,75,0,17.43,CL,2022-01-31 23:47:30
85,Vanavara,60.34,102.2797,-11.22,100,91,1.97,RU,2022-01-31 23:47:30
86,Dutse,11.7594,9.3392,58.62,24,31,8.63,NG,2022-01-31 23:47:30
87,Bredasdorp,-34.5322,20.0403,74.28,88,23,4.61,ZA,2022-01-31 23:47:31
88,Boende,-0.2167,20.8667,71.49,68,98,2.35,CD,2022-01-31 23:47:31
89,Marang,5.2056,103.2059,75.11,87,58,3.29,MY,2022-01-31 23:47:31
90,Berlevag,70.8578,29.0864,22.1,75,70,8.21,NO,2022-01-31 23:47:32
91,Panaba,21.2833,-88.2667,68.94,65,53,13.58,MX,2022-01-31 23:43:30
92,Mahebourg,-20.4081,57.7,79.25,78,75,14.97,MU,2022-01-31 23:44:47
93,San Patricio,28.017,-97.5169,70.21,97,97,11.1,US,2022-01-31 23:48:32
94,Bluff,-46.6,168.3333,75.79,80,37,3.31,NZ,2022-01-31 23:48:33
95,Kendari,-3.945,122.4989,78.55,85,100,2.59,ID,2022-01-31 23:45:56
96,Torbay,47.6666,-52.7314,31.75,76,75,14.97,CA,2022-01-31 23:48:33
97,Saint George,37.1041,-113.5841,63.07,16,0,1.01,US,2022-01-31 23:48:33
98,Weligama,5.9667,80.4167,72.73,90,9,6.31,LK,2022-01-31 23:48:34
99,Dikson,73.5069,80.5464,-2.56,90,100,18.07,RU,2022-01-31 23:48:34
100,Saint-Denis,48.9167,2.3333,38.75,74,0,3.44,FR,2022-01-31 23:48:35
101,Ust-Omchug,61.15,149.6333,-8.52,97,94,6.91,RU,2022-01-31 23:48:35
102,Nome,64.5011,-165.4064,17.67,45,0,10.36,US,2022-01-31 23:46:20
103,Male,4.1748,73.5089,82.35,83,40,13.8,MV,2022-01-31 23:48:35
104,Asau,46.4333,26.4,32.95,69,100,3.98,RO,2022-01-31 23:48:36
105,Greenville,35.6127,-77.3663,44.74,63,0,0.0,US,2022-01-31 23:46:48
106,Kaoma,-14.7833,24.8,64.53,99,100,5.46,ZM,2022-01-31 23:48:36
107,Walvis Bay,-22.9575,14.5053,70.09,83,100,8.01,NA,2022-01-31 23:48:36
108,Faanui,-16.4833,-151.75,81.05,72,6,21.18,PF,2022-01-31 23:47:11
109,Yellowknife,62.456,-114.3525,-10.44,83,20,5.75,CA,2022-01-31 23:48:37
110,Baghmara,23.795,86.2085,58.06,52,5,3.96,IN,2022-01-31 23:48:37
111,Chicama,-7.8447,-79.1469,66.74,69,32,6.62,PE,2022-01-31 23:48:38
112,Guymon,36.6828,-101.4816,63.52,22,44,11.74,US,2022-01-31 23:43:48
113,Port Blair,11.6667,92.75,68.04,94,20,0.0,IN,2022-01-31 23:48:38
114,Cherskiy,68.75,161.3,-10.61,91,100,3.62,RU,2022-01-31 23:48:39
115,Kapoeta,4.7717,33.5903,80.76,28,13,3.18,SS,2022-01-31 23:48:39
116,Bathsheba,13.2167,-59.5167,79.41,78,40,11.5,BB,2022-01-31 23:48:40
117,Birao,10.2849,22.7882,69.42,15,83,12.15,CF,2022-01-31 23:48:40
118,Maniitsoq,65.4167,-52.9,7.32,87,99,10.76,GL,2022-01-31 23:48:40
119,Albany,42.6001,-73.9662,21.81,65,15,1.9,US,2022-01-31 23:47:18
120,Solomenskoye,44.2167,44.3528,31.66,85,92,5.14,RU,2022-01-31 23:48:41
121,Biak,-0.9131,122.8766,80.44,69,92,2.77,ID,2022-01-31 23:48:41
122,Naze,28.3667,129.4833,50.92,60,69,5.46,JP,2022-01-31 23:48:41
123,Varhaug,58.6147,5.6457,34.48,87,100,11.92,NO,2022-01-31 23:48:42
124,Kangaatsiaq,68.3065,-53.4641,9.28,72,100,10.16,GL,2022-01-31 23:48:42
125,Flinders,-34.5833,150.8552,88.05,71,26,5.99,AU,2022-01-31 23:48:43
126,Hobart,-42.8794,147.3294,83.05,51,40,1.99,AU,2022-01-31 23:48:02
127,Katsuura,35.1333,140.3,45.19,43,89,6.62,JP,2022-01-31 23:48:43
128,Sao Filipe,14.8961,-24.4956,75.04,69,100,5.35,CV,2022-01-31 23:48:43
129,Salalah,17.0151,54.0924,68.09,77,0,3.44,OM,2022-01-31 23:48:44
130,Geraldton,-28.7667,114.6,72.01,56,3,20.71,AU,2022-01-31 23:48:44
131,Comodoro Rivadavia,-45.8667,-67.5,75.06,23,58,25.32,AR,2022-01-31 23:45:01
132,Huaicheng,23.9051,112.1931,46.22,91,100,2.39,CN,2022-01-31 23:48:45
133,Hualmay,-11.0964,-77.6139,71.37,81,71,8.59,PE,2022-01-31 23:47:22
134,Upernavik,72.7868,-56.1549,-17.36,97,100,7.25,GL,2022-01-31 23:47:29
135,Fortuna,40.5982,-124.1573,53.42,70,0,1.01,US,2022-01-31 23:48:45
136,Evensk,61.95,159.2333,21.24,63,100,27.2,RU,2022-01-31 23:42:00
137,Angoche,-16.2325,39.9086,76.19,84,1,6.67,MZ,2022-01-31 23:49:46
138,Mukhen,48.1,136.1,1.38,89,97,4.18,RU,2022-01-31 23:49:46
139,Cabedelo,-6.9811,-34.8339,79.47,75,21,10.45,BR,2022-01-31 23:45:58
140,Balikpapan,-1.2675,116.8289,76.19,94,20,5.75,ID,2022-01-31 23:49:47
141,Garowe,8.4054,48.4845,68.0,88,67,9.48,SO,2022-01-31 23:49:47
142,Pisco,-13.7,-76.2167,73.45,73,40,19.57,PE,2022-01-31 23:48:34
143,Saint-Pierre,-21.3393,55.4781,78.48,73,20,11.5,RE,2022-01-31 23:45:58
144,Lavrentiya,65.5833,-171.0,-0.18,83,49,12.53,RU,2022-01-31 23:49:48
145,Prince Rupert,54.3161,-130.3201,38.89,87,100,2.3,CA,2022-01-31 23:45:06
146,Touros,-5.1989,-35.4608,79.7,73,62,12.17,BR,2022-01-31 23:49:48
147,Cidreira,-30.1811,-50.2056,73.33,85,26,3.89,BR,2022-01-31 23:49:48
148,Pathein,16.7833,94.7333,60.21,73,90,3.85,MM,2022-01-31 23:49:49
149,Kahului,20.8947,-156.47,79.86,68,40,16.11,US,2022-01-31 23:49:49
150,Ngunguru,-35.6167,174.5,72.16,77,98,17.96,NZ,2022-01-31 23:49:49
151,Puerto Narino,-3.7703,-70.3831,85.95,78,84,2.37,CO,2022-01-31 23:49:50
152,San Luis,-33.295,-66.3356,77.04,39,17,7.99,AR,2022-01-31 23:49:50
153,Akdepe,42.0551,59.3788,32.0,80,12,9.8,TM,2022-01-31 23:49:51
154,Klaksvik,62.2266,-6.589,47.32,82,100,36.84,FO,2022-01-31 23:45:55
155,Cayenne,4.9333,-52.3333,80.1,84,75,4.0,GF,2022-01-31 23:49:51
156,Porbandar,21.6422,69.6093,70.07,81,0,7.27,IN,2022-01-31 23:49:52
157,Teacapan,22.55,-105.75,73.29,54,0,10.49,MX,2022-01-31 23:49:52
