City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
507,Trairi,BR,82.31,very heavy rain,-3.2778,-39.2689,janelas do mar
510,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
514,Kieta,PG,81.37,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
515,Sur,OM,70.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
517,Kulhudhuffushi,MV,81.39,broken clouds,6.6221,73.07,Haajy Guest House 1
523,Mercedes,AR,84.78,light rain,-34.6515,-59.4307,Posada del Inti Centro
524,Treinta Y Tres,UY,79.81,overcast clouds,-33.2333,-54.3833,Jardines Apart-Hotel
528,Barberena,GT,80.24,few clouds,14.3094,-90.3611,Hotel Romero
530,Ibicarai,BR,85.98,overcast clouds,-14.865,-39.5875,Pousada Patioba
533,Rincon,US,76.96,overcast clouds,32.296,-81.2354,Days Inn Rincon
540,Jawhar,SO,75.76,clear sky,2.7809,45.5005,hantiwadaag village part one
541,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
542,Maua,BR,80.4,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
544,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
545,Charters Towers,AU,71.31,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
547,Bertoua,CM,75.09,few clouds,4.5833,13.6833,Hotel De Paris
556,Nakasongola,UG,74.73,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
557,Coihaique,CL,72.21,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
560,Paita,PE,82.96,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
562,Dabola,GN,80.98,clear sky,10.75,-11.1167,Hotel Tinkisso
564,Grand-Santi,GF,79.68,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
565,Southern Pines,US,72.09,light rain,35.174,-79.3923,"Holiday Inn Express & Suites Southern Pines-Pinehurst Area, an IHG Hotel"
572,Santiago De Cuba,CU,83.82,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
574,Jega,NG,74.48,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
577,Bang Saphan,TH,75.13,light rain,11.2126,99.5117,Ladawan Boutique Hotel
582,Pringsewu,ID,72.82,moderate rain,-5.3582,104.9744,Urban Style by Front One
587,Turbo,CO,87.93,few clouds,8.0937,-76.7269,Hotel Plaza Manfortt
593,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
594,Barabai,ID,73.4,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
595,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
600,Eyl,SO,72.91,clear sky,7.9803,49.8164,Amiin Hotel
613,Moron,AR,87.03,overcast clouds,-34.6534,-58.6198,Hotel Morón
615,Paranaiba,BR,85.41,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
619,Vallenar,CL,86.2,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
620,Acarau,BR,83.26,overcast clouds,-2.8856,-40.12,castelo pizzaria
621,La Asuncion,VE,71.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
627,Kailua,US,75.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
629,Srandakan,ID,77.05,moderate rain,-7.9386,110.2506,Puri Brata
632,Ixtapa,MX,76.23,few clouds,20.7,-105.2,hotel la terminal
635,Cordoba,AR,83.75,scattered clouds,-31.4135,-64.1811,Hotel Sussex
637,Zemio,CF,78.8,overcast clouds,5.0314,25.1361,OCHA Office
640,Jaciara,BR,85.32,moderate rain,-15.9653,-54.9683,Taba Hotel
643,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
646,Bandiagara,ML,84.63,clear sky,14.3501,-3.6104,Hotel de la Falaise
648,Rodrigues Alves,BR,80.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
651,Sorong,ID,80.69,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
654,Ahipara,NZ,71.55,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
656,Nouakchott,MR,89.53,clear sky,18.0858,-15.9785,HOTEL IMAN
657,Monteagudo,BO,78.58,overcast clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
672,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
675,Wamba,NG,76.93,clear sky,8.9333,8.6,Roma Zee Guest House Annex
682,Marau,BR,71.49,overcast clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
685,Eirunepe,BR,75.36,overcast clouds,-6.6603,-69.8736,Atrás de você
686,Buritizeiro,BR,87.13,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
689,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
690,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
692,Namatanai,PG,79.97,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
694,West Bay,KY,84.27,scattered clouds,19.3667,-81.4167,Calypso Cove
695,Tual,ID,83.62,light rain,-5.6667,132.75,Grand Vilia Hotel
696,Padang,ID,75.6,moderate rain,-0.9492,100.3543,Mercure Padang
697,Nauta,PE,84.51,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
698,Prabumulih,ID,72.55,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
702,Les Cayes,HT,85.05,clear sky,18.2,-73.75,Villa Orphee
715,Kefamenanu,ID,70.83,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
716,Omboue,GA,78.4,broken clouds,-1.5746,9.2618,Hotel Olako
720,Natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
723,Dingle,PH,73.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
